# Motion State
# Angle Units : degrees
# Time        	centreOfRotation	centreOfMass	rotation	velocity	omega
0.084         	(0.000000e+00 4.014271e-01 0.000000e+00)	(0.000000e+00 4.014271e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.334647e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.085         	(0.000000e+00 4.057539e-01 0.000000e+00)	(0.000000e+00 4.057539e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.318885e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.086         	(0.000000e+00 4.100648e-01 0.000000e+00)	(0.000000e+00 4.100648e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.302952e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.087         	(0.000000e+00 4.143597e-01 0.000000e+00)	(0.000000e+00 4.143597e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.286848e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.088         	(0.000000e+00 4.186384e-01 0.000000e+00)	(0.000000e+00 4.186384e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.270575e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.089         	(0.000000e+00 4.229008e-01 0.000000e+00)	(0.000000e+00 4.229008e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.254132e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.09          	(0.000000e+00 4.271466e-01 0.000000e+00)	(0.000000e+00 4.271466e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.237521e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.091         	(0.000000e+00 4.313757e-01 0.000000e+00)	(0.000000e+00 4.313757e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.220742e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.092         	(0.000000e+00 4.355880e-01 0.000000e+00)	(0.000000e+00 4.355880e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.203795e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
0.093         	(0.000000e+00 4.397833e-01 0.000000e+00)	(0.000000e+00 4.397833e-01 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)	(0.000000e+00 4.186682e+00 0.000000e+00)	(0.000000e+00 0.000000e+00 0.000000e+00)
